Listing_ID,Location,Postal_code,Area,Property_type,Property_sub_type,Furnished,Lease_term,Short_term,Parking_spot,Parking_type,Heating,Water,Electricity,Internet,Cable,Year_built,Price,Age,Neighborhood
371561,"1975 Maisonneuve Blvd West - Montréal, QC",H3H 1K4,640.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1250,,Downtown
380970,"3730 Chemin Queen Mary - Montréal, QC",H3V 1A6,608.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,1400,,Côte-des-Neiges
439008,"155 Boulevard Deguire - Saint-Laurent, QC",H4N 1N9,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,740,,Saint-Laurent
540345,"5460, avenue Sunnybrooke - Côte Saint-Luc, QC",H4X 2E3,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1095,,Côte Saint-Luc
352709,"8115 Boul. du Saint-Laurent - Montréal, QC",J4X 0C4,684.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,0,1500,,BrossardSouthwest
546883,"6405 Decarie - Montréal, QC",H3W 3E1,560.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,No Info,1360,,Côte-des-Neiges
567712,"4515 Rue Clark - Montréal, QC",H2T 2T3,490.0,Apartment,Loft,Yes,1-year,No,No Info,Street,No,No,No,No,No,No Info,1475,,Mont-Royal
557111,"3655 Avenue Papineau - Montréal, QC",H2K 4K1,525.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,No Info,1379,,MontrealNorth Centre-Sud(Sainte-Marie)
371550,"3555 Cote-des-Neiges Road - Montréal, QC",H3H 1V2,630.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1495,,Downtown
356918,"1555 René-Levesque West - Montréal, QC",H3G 0G9,,Apartment,Apartment,Yes,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,1965,1650,57.0,Downtown
552606,"1555 Rene-Levesque O. - Montréal, QC",H3G 0G9,,Apartment,Apartment,Yes,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,2022,1550,0.0,Downtown
280021,"3474 rue Hutchison - Montréal, QC",H2X 2G7,450.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1549,,Mont-Royal
286783,"350 Prince-arthur West - Montréal, QC",H2X 3R2,1038.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1350,,Mont-Royal
559690,"6801 rue Abraham de Sola - Côte Saint-Luc, QC",H3X 4B3,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,2150,,Hampstead
301478,"1025 rue Sherbrooke Est - Montréal, QC",H2L 1L4,571.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1559,,Le Village
280016,"2121 & 2255 rue Saint-Mathieu - Montréal, QC",,500.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1649,,
461324,"439 AV. Thérèse Lavoie-Roux - Outremont, QC",H2V 0B1,568.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,2021,1620,1.0,Outremont
447727,"1411 Rue du Fort - Montréal, QC",H3H 2R1,535.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1300,,Downtown
439019,"3440 rue Durocher - Montréal, QC",H2X 2E2,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1165,,Mont-Royal
